protocol_name,row_number,module_name,question_text,condition,disposition,stop_rule
Chest Pain,1,Case Entry,Verify the address of the emergency. What is the exact address?,initial contact,,CONTINUE
Chest Pain,2,Case Entry,What is the callback number you are calling from?,initial contact,,CONTINUE
Chest Pain,3,Case Entry,Tell me exactly what happened.,initial contact,,CONTINUE
Chest Pain,4,Case Entry,How old is the patient?,initial contact,,CONTINUE
Chest Pain,5,Key Questions,Is s/he conscious?,consciousness check,,CONTINUE
Chest Pain,6,Key Questions,Is s/he breathing?,breathing check,,CONTINUE
Chest Pain,7,Key Questions,Is s/he breathing normally?,breathing quality,,CONTINUE
Chest Pain,8,Key Questions,Where exactly is the pain? Can you point to it?,pain location,,CONTINUE
Chest Pain,9,Key Questions,Is the pain in the center of the chest?,substernal pain,,CONTINUE
Chest Pain,10,Key Questions,"Does the pain spread to the arm, jaw, neck, or back?",pain radiation,,CONTINUE
Chest Pain,11,Key Questions,"How would you describe the pain — is it crushing, squeezing, or pressure-like?",pain quality,,CONTINUE
Chest Pain,12,Key Questions,"On a scale of 1 to 10, how severe is the pain?",pain severity,,CONTINUE
Chest Pain,13,Key Questions,When did the pain start?,onset time,,CONTINUE
Chest Pain,14,Key Questions,Has the pain been constant or does it come and go?,pain pattern,,CONTINUE
Chest Pain,15,Key Questions,Is s/he sweating more than normal or feeling clammy?,diaphoresis,,CONTINUE
Chest Pain,16,Key Questions,Does s/he feel nauseous or has s/he vomited?,nausea/vomiting,,CONTINUE
Chest Pain,17,Key Questions,Is s/he short of breath?,dyspnea,,CONTINUE
Chest Pain,18,Key Questions,Does s/he feel dizzy or lightheaded?,dizziness,,CONTINUE
Chest Pain,19,Key Questions,Has s/he had a heart attack before?,cardiac history,,CONTINUE
Chest Pain,20,Key Questions,Does s/he have a history of heart disease or angina?,cardiac history,,CONTINUE
Chest Pain,21,Key Questions,Does s/he take nitroglycerin?,medication history,,CONTINUE
Chest Pain,22,Key Questions,Has s/he taken any nitroglycerin today? How many?,medication use,,CONTINUE
Chest Pain,23,Key Questions,Does s/he take blood thinners or aspirin?,anticoagulant use,,CONTINUE
Chest Pain,24,Key Questions,Does s/he have a history of high blood pressure or diabetes?,comorbidities,,CONTINUE
Chest Pain,25,Key Questions,Is s/he able to speak in full sentences?,respiratory effort,,CONTINUE
Chest Pain,26,Key Questions,What was s/he doing when the pain started?,activity at onset,,CONTINUE
Chest Pain,27,Key Questions,Does the pain get worse when s/he breathes in?,pleuritic component,,CONTINUE
